Название продукта;Ссылка на продукт;Cashback;Изображение карты
Карта «Разумная»;https://www.vbr.ru/https://www.vbr.ru/banki/renessans-kredit/kreditnyekarty/razymnaya/;;https://www.vbr.ru/https://cdn.viberu.ru/static/files/images/img-placeholder.gif
Карта «МТС Деньги Weekend»;https://www.vbr.ru/https://www.vbr.ru/banki/mts-bank/kreditnyekarty/mts-dengi-weekend_010ec490/;CashBackдо5%;https://www.vbr.ru/https://cdn.viberu.ru/static/files/images/img-placeholder.gif
Кредитная карта 120 дней;https://www.vbr.ru/https://www.vbr.ru/banki/open/kreditnyekarty/kreditnaya-karta-120-dnei/;;https://www.vbr.ru/https://cdn.viberu.ru/static/files/images/img-placeholder.gif
Карта «Двойной кэшбэк»;https://www.vbr.ru/https://www.vbr.ru/banki/promsvaz_bank/kreditnyekarty/dvoinoi-kesbek/;CashBackдо10%;https://www.vbr.ru/https://cdn.viberu.ru/static/files/images/img-placeholder.gif
Карта «120 дней на максимум»;https://www.vbr.ru/https://www.vbr.ru/banki/yralsib/kreditnyekarty/120-dnei-na-maksimym/;CashBackдо15%;https://www.vbr.ru/https://cdn.viberu.ru/static/files/images/img-placeholder.gif
Карта «Универсальная МИР»;https://www.vbr.ru/https://www.vbr.ru/banki/bistrobank/kreditnyekarty/yniversalnaya-mir/;;https://www.vbr.ru/https://cdn.viberu.ru/static/files/images/img-placeholder.gif
Карта «100+»;https://www.vbr.ru/https://www.vbr.ru/banki/promsvaz_bank/kreditnyekarty/100-/;;https://www.vbr.ru/https://cdn.viberu.ru/static/files/images/img-placeholder.gif
Кредитная карта «My Freedom»;https://www.vbr.ru/https://www.vbr.ru/banki/yral_skii-bank-rekonstrykcii-i-razvitia/kreditnyekarty/kreditnaya-karta--my-freedom-/;CashBackдо35%;https://www.vbr.ru/https://cdn.viberu.ru/static/files/images/img-placeholder.gif
Карта «Универсальная Classic»;https://www.vbr.ru/https://www.vbr.ru/banki/bistrobank/kreditnyekarty/yniversalnaya-classic/;;https://www.vbr.ru/https://cdn.viberu.ru/static/files/images/img-placeholder.gif
Карта «Наличная»;https://www.vbr.ru/https://www.vbr.ru/banki/yral_skii-bank-rekonstrykcii-i-razvitia/kreditnyekarty/nalicnaya/;;https://www.vbr.ru/https://cdn.viberu.ru/static/files/images/img-placeholder.gif
СберКарта;https://www.vbr.ru/https://www.vbr.ru/banki/sberbank-rossii/kreditnyekarty/sberkarta_832bd797/;CashBackдо30%;https://www.vbr.ru/https://cdn.viberu.ru/static/files/images/img-placeholder.gif
Карта «365 дней без %»;https://www.vbr.ru/https://www.vbr.ru/banki/al_fa-bank/kreditnyekarty/365-dnei-bez-procentov/;CashBackдо33%;https://www.vbr.ru/https://cdn.viberu.ru/static/files/images/img-placeholder.gif
Карта возможностей;https://www.vbr.ru/https://www.vbr.ru/banki/vtb/kreditnyekarty/karta-vozmojnostei/;CashBackдо50%;https://www.vbr.ru/https://cdn.viberu.ru/static/files/images/img-placeholder.gif
Карта «Tinkoff Drive»;https://www.vbr.ru/https://www.vbr.ru/banki/tin_koff-kreditnie-sistemi/kreditnyekarty/tinkoff-drive/;CashBackдо30%;https://www.vbr.ru/https://cdn.viberu.ru/static/files/images/img-placeholder.gif
Карта «Универсальная MTS CASHBACK»;https://www.vbr.ru/https://www.vbr.ru/banki/mts-bank/kreditnyekarty/yniversalnaya-mts-cahsback_b36094b7/;CashBackдо25%;https://www.vbr.ru/https://cdn.viberu.ru/static/files/images/img-placeholder.gif
Кредитная карта с рассрочкой All Airlines;https://www.vbr.ru/https://www.vbr.ru/banki/tin_koff-kreditnie-sistemi/kreditnyekarty/all-airlines-world/;;https://www.vbr.ru/https://cdn.viberu.ru/static/files/images/img-placeholder.gif
Карта Халва;https://www.vbr.ru/https://www.vbr.ru/banki/sovkombank/kreditnyekarty/halva/;CashBackдо10%;https://www.vbr.ru/https://cdn.viberu.ru/static/files/images/img-placeholder.gif
Карта «МТС Деньги Zero»;https://www.vbr.ru/https://www.vbr.ru/banki/mts-bank/kreditnyekarty/mts-dengi-zero/;CashBackдо6%;https://www.vbr.ru/https://cdn.viberu.ru/static/files/images/img-placeholder.gif
Карта «Тинькофф Платинум с рассрочкой»;https://www.vbr.ru/https://www.vbr.ru/banki/tin_koff-kreditnie-sistemi/kreditnyekarty/tin_koff-platinym/;CashBackдо30%;https://www.vbr.ru/https://cdn.viberu.ru/static/files/images/img-placeholder.gif
Удобная карта;https://www.vbr.ru/https://www.vbr.ru/banki/gazprombank/kreditnyekarty/ydobnaya-karta/;CashBackдо15%;https://www.vbr.ru/https://cdn.viberu.ru/static/files/images/img-placeholder.gif
Карта «Разумная»;https://www.vbr.ru/https://www.vbr.ru/banki/renessans-kredit/kreditnyekarty/razymnaya/;;https://www.vbr.ru/https://cdn.viberu.ru/static/files/images/img-placeholder.gif
Карта «МТС Деньги Weekend»;https://www.vbr.ru/https://www.vbr.ru/banki/mts-bank/kreditnyekarty/mts-dengi-weekend_010ec490/;CashBackдо5%;https://www.vbr.ru/https://cdn.viberu.ru/static/files/images/img-placeholder.gif
Кредитная карта 120 дней;https://www.vbr.ru/https://www.vbr.ru/banki/open/kreditnyekarty/kreditnaya-karta-120-dnei/;;https://www.vbr.ru/https://cdn.viberu.ru/static/files/images/img-placeholder.gif
Карта «Двойной кэшбэк»;https://www.vbr.ru/https://www.vbr.ru/banki/promsvaz_bank/kreditnyekarty/dvoinoi-kesbek/;CashBackдо10%;https://www.vbr.ru/https://cdn.viberu.ru/static/files/images/img-placeholder.gif
Карта «120 дней на максимум»;https://www.vbr.ru/https://www.vbr.ru/banki/yralsib/kreditnyekarty/120-dnei-na-maksimym/;CashBackдо15%;https://www.vbr.ru/https://cdn.viberu.ru/static/files/images/img-placeholder.gif
Карта «Универсальная МИР»;https://www.vbr.ru/https://www.vbr.ru/banki/bistrobank/kreditnyekarty/yniversalnaya-mir/;;https://www.vbr.ru/https://cdn.viberu.ru/static/files/images/img-placeholder.gif
Карта «100+»;https://www.vbr.ru/https://www.vbr.ru/banki/promsvaz_bank/kreditnyekarty/100-/;;https://www.vbr.ru/https://cdn.viberu.ru/static/files/images/img-placeholder.gif
Кредитная карта «My Freedom»;https://www.vbr.ru/https://www.vbr.ru/banki/yral_skii-bank-rekonstrykcii-i-razvitia/kreditnyekarty/kreditnaya-karta--my-freedom-/;CashBackдо35%;https://www.vbr.ru/https://cdn.viberu.ru/static/files/images/img-placeholder.gif
Карта «Универсальная Classic»;https://www.vbr.ru/https://www.vbr.ru/banki/bistrobank/kreditnyekarty/yniversalnaya-classic/;;https://www.vbr.ru/https://cdn.viberu.ru/static/files/images/img-placeholder.gif
Карта «Наличная»;https://www.vbr.ru/https://www.vbr.ru/banki/yral_skii-bank-rekonstrykcii-i-razvitia/kreditnyekarty/nalicnaya/;;https://www.vbr.ru/https://cdn.viberu.ru/static/files/images/img-placeholder.gif
